id1,id2,similarity,label,note,timestamp
Q001,Q002,0.953,different,,2025-12-01T11:26:13.126563
Q003,Q004,0.8864,near-duplicate/harmonizable,,2025-12-01T11:26:13.126563
Q009,Q010,0.8942,near-duplicate/harmonizable,almost sasasda sdasdasd,2025-12-01T11:26:13.126563
Q009,Q047,0.9116,different,berbeda,2025-12-01T11:26:13.126563
Q010,Q047,0.8524,duplicate,,2025-12-01T11:26:13.126563
Q011,Q012,0.821,duplicate,,2025-12-01T11:26:13.126563
Q013,Q014,0.9588,duplicate,,2025-12-01T11:26:13.126563
Q017,Q018,0.8517,duplicate,,2025-12-01T11:26:13.126563
Q021,Q022,0.9055,duplicate,,2025-12-01T11:26:13.126563
Q024,Q036,0.8041,duplicate,,2025-12-01T11:26:13.126563
Q027,Q028,0.893,duplicate,,2025-12-01T11:26:13.126563
Q031,Q032,0.8427,duplicate,,2025-12-01T11:26:13.126563
Q033,Q034,0.8474,duplicate,,2025-12-01T11:26:13.126563
Q037,Q038,0.9641,duplicate,,2025-12-01T11:26:13.126563
Q039,Q040,0.8644,duplicate,,2025-12-01T11:26:13.126563
Q041,Q042,0.8321,duplicate,,2025-12-01T11:26:13.126563
Q043,Q044,0.8504,duplicate,,2025-12-01T11:26:13.126563
Q047,Q048,0.8418,duplicate,,2025-12-01T11:26:13.126563
