question_id,perturbed
Q00001,tangga Anda menyebutkan rumah Bisakah yang keseluruhan terkait slingkungan tempat tinggal?
Q00002,Berapa jumlah anggota ini dalnam wilayah keluarga ini?
Q00003,Seberapa aktivitas kegriatan usaha yang digunakan pada banyak
Q00004,Berapa perkiraane jumlah konsumsi lingkungan dalam pangan tinggal ini?
Q00005,pengelluaran banyak Seberapa rumah tangga dialami pada rumah tangga ini?
Q00006,Apa pengeoluaran rumah tangga seminggu dimiliki rumah tangga dalam yang terakhir?
Q00007,Berapa estimasi anggota keluarga lingkungan dilakukan pada yang tempat tersebdut?
Q00008,Berapa utaama aktivitas aset dalam jumlah sehari-hari ini?
Q00009,Seberapa banyak tempat kebluarga yang dimiliki lingkungan anggota tinggal?
Q00010,Bagaimana kondisi fasilitas rumah yang diterima dti tinggal? lingkungan
Q00011,Apakah terdapat yang minum sumber dihasilkan dalam aktivitas senhari-hari?
Q00012,digunakan mana kendaraan rumah Sejauh untuk aktivitas sehawri-hari?
Q00013,Mohon sebeluminya. alat pertanian yang digunakan periode sebutkan
Q00014,Apa jenis sumbper Anda? minum yang dialami rumah tangga usaha air
Q00015,Mohon sebutkan fasilitas di tersedia yang rumah taungga ini.
Q00016,untuk mana canggota digunakan Sejauh wilayah ini?
Q00017,Sejauh mana pengeluaran rumah tahun untuk digunakan berjalpan?
Q00018,Sejauh mana rumaah tangga bulan untuk digunakan lalu?
Q00019,Berapa ini? jumlah lahan pedrtanian bulan lalu umum
Q00020,kondisi lahan pertanian yang dimfiliki lalu? bulan di
Q00021,rumah selama tersedia tenaga kerjoa tangga tahun berjalan?
Q00022,Berapa estimasi anggota keluarga tinggal pada lingkungan tempat diterima ntersebut?
Q00023,pada banyak kegiatan yang dimiliki Seberapa tahun berjalanq?
Q00024,panen Anda hasil Bisakah yang aktual terkait lingkungan telmpat tinggal?
Q00025,Mohon lahan ini. yang diperolegh di wilayah pertanian
Q00026,Apakah seminggu kegiataan usaha yang dikelola dalam terdapat
Q00027,Apakah tayngga dimiliki penerangan sumber selama seminggu terakhir?
Q00028,pangan terkini jumlah konsumsi Berapa usaha rAnda ini?
Q00029,Berapa estimasi diterima kerjfa yang tenaga pada lingkungan tempat tersebut?
Q00030,Bisakahh menyebutkan Anda alat pertanian yang perkiraan musim panen terakhir?
Q00031,Berapa aset usaha yange dikelola terakhir musim panen pada tersebut?
Q00032,Berapa keseluruhan dalam keluarga anggota musim upanen terakhir ini?
Q00033,Bisakah Anda usaha volume produksi tercatat hterkait menyebutkan Anda?
Q00034,Sejauh mana rumah usaha digunakan untuk tanggea Anda?
Q00035,Anda Bisakah kuonsumsi pangan yang keseluruhan terkait tahun berjalan?
Q00036,tahun mana hasil digunakan untuk Sejauuh berjalan?
Q00037,Apa jenis sumber penerangan yang digunakan tangga rumah dalam panesn terakhir?
Q00038,Seberapa dihasilkan konsumsi pangan yang banyack bulan lalu?
Q00039,Bisakah Anda yang usaha aset tercatat terkait tahunb berjalan?
Q00040,Apa jenise tenaga kerja yang rumah tahun dalam tangga berjalan?
Q00041,terakhir rata-rata jumlah konsumsi pangan dalam seminggu Bervapa
Q00042,pada banyak jam kxerja yang Seberapa usaha Anda?
Q00043,Apa jenis aset tangga yang rumah usaha dalawm tahun berjalan?
Q00044,Bisakah Anda menyebutkan lahan periode yang terkait ppertanian sebelumnya?
Q00045,Bisakah Anda terkini rumah tangga yang menyebutkan terrkait usaha Anda?
Q00046,Bagaimana jkondisi volume di digunakan produksi bulan lalu?
Q00047,Apakah arumah tangga lahan panen selama musim pertanian terakhir?
Q00048,usaha hasil panen yang dialami pada banyak Andas?
Q00049,Berapa total jumlah musim daulam tenaga panen terakhir ini?
Q00050,Apa tangga konsumsi pangan yang dikelola rnumah jenis dalam periode
Q00051,aset terdapat Apakah usaha diterima dalam aktivitasy sehari-hari?
Q00052,Mohon hasil panen yang tersediab di ini. wilayah
Q00053,konsumsi mana Sejauh pangan digunakan aktivitas vsehari-hari?
Q00054,rumah mana anggota keluoarga digunakan untuk Sejauh ini?
Q00055,Bagaimarna air sumber minum yang dialami di lingkungan tempat tinggal?
Q00056,Bisakah Anda sumber air xminum yang tercatat terkait sehari-hari? aktivitas
Q00057,jenis anggota keluarga dalam dicatat ruomah tangga yang aktivitas sehari-hari?
Q00058,Sejvauh digunakan sumber air minum mana untuk musim terakhir?
Q00059,Berapa umum musim sumber dalam jummlah panen terakhir ini?
Q00060,Apakah sumber penerangan periode diperoleh dailam yang sebelumnya?
Q00061,Apakah tangga rumah cdihasilkan pertanian selama periode sebelumnya?
Q00062,Seberapa banyak tersedia pertanian ybang alat pada aktivitas
Q00063,Bisakah Anda tempat konsumsi yang dominan terkait lingkungan meunyebutkan tinggal?
Q00064,yang estimasi tenaga kerjaj Berapa diterima pada wilayah tersebut?
Q00065,Mohon produksi volume sebutkan yang dimtiliki di tahun
Q00066,Berapa estimasi lingkungan usaha yrang diperoleh kegiatan tempat tinggal tersebut?
Q00067,usaha aset terdapat yang tersedia dalam persiode sebelumnya?
Q00068,Berapa tercatat jumlkah volume dalam bulan ini? lalu
Q00069,Sejauh kegiatan usaha digunaxkan panen musim untuk terakhir?
Q00070,pada banyak rumah yang dialami Seberapav wilayah ini?
Q00071,Mohon sebutkan anggota di yang dikelola keluarxga aktivitas
Q00072,Bagaimana kondisi tangga rumah pengeludaran yang diperoleh di musim terakhir?
Q00073,Anda? rumah tangga digunakan ganggota selama usaha Apakah
Q00074,lingkungan rumah tangga dialami jaam kerja selama Apakah tempat
Q00075,Sejauh untuk lahan pertanian mana usaha Annda?
Q00076,Bisakah Anda menyuebutkan sumber minum wilayah terkini terkait yang ini?
Q00077,Apa jenis jam kerja yangg aktivitas tangga dalam dialami sehari-hari?
Q00078,Sebuerapa banyak rumah tangga yang dikelola sehari-hari? aktivitas pada
Q00079,Berapa dalabm jumlah aset tercatat rumah tangga ini ini?
Q00080,anggota rumah tangga tersedian Apakah selama periode sebelumnya?
Q00081,Seberapa banyak alat pada yang dimiliki pefrtanian seminggu
Q00082,Berapa estimasi tenaga kerja yang tersebut? pada tahun dikpelola
Q00083,rumah jkenis jam kerja yang dilakukan Apa tangga dalam Anda?
Q00084,di kondisi pengeluaran htangga yang digunakan Bagaimana tahun berjalan?
